type,client,tx,amount
deposit,1,1,100.0
withdrawal,1,2,30.0
withdrawal,1,2,30.0
deposit,2,3,100.0
deposit,3,4,2.0
deposit,3,5,20.0
deposit,3,6,200.0
deposit,3,6,200.0
deposit,4,7,200.0
withdrawal,4,8,200.0
withdrawal,4,9,200.0
deposit,5,10,10.0
dispute,5,10
dispute,1,2
dispute,4,9
deposit,6,11,10.0
withdrawal,6,12,5.0
dispute,6,11
dispute,6,11
withdrawal,5,10
resolve,5,10
dispute,3,4
chargeback,3,4
resolve,3,4
deposit,3,13,1.0
deposit,7,14,10.0
chargeback,7,14
chargeback,5,10
chargeback,6,12
deposit,123,123,100.0
withdrawal,123,123,100.0
resolve,123,123,100.0
dispute,123,123,100.0
resolve,123,123,100.0
dispute,123,123,100.0
chargeback,123,123,100.0
deposit,1234,1234,10.0
deposit,1234,1235,500.0
withdrawal,1234,1236,100.0
resolve,0,1234,100.0
dispute,0,1234,100.0
ddd,1234,1234,10.0
deposit,1234,0,500.0
witfhdrawal,1234,1236,100.0
1.0,0,1234,100.0
1,0,1234,100.0


